iter	Passed	Remaining
0	143	143466
1	144	71966
2	144	48116
3	145	36163
4	145	28983
5	146	24198
6	146	20790
7	146	18226
8	147	16231
9	147	14634
10	148	13326
11	148	12240
12	149	11320
13	149	10532
14	149	9846
15	150	9259
16	151	8733
17	151	8268
18	151	7847
19	152	7477
20	153	7133
21	153	6824
22	154	6544
23	154	6286
24	155	6047
25	155	5823
26	155	5618
27	156	5426
28	156	5248
29	157	5081
30	157	4924
31	157	4777
32	158	4640
33	158	4511
34	159	4389
35	159	4274
36	160	4167
37	160	4065
38	161	3968
39	161	3876
40	161	3787
41	162	3702
42	162	3623
43	163	3547
44	163	3475
45	164	3407
46	164	3340
47	165	3276
48	165	3216
49	166	3157
50	166	3100
51	167	3046
52	167	2993
53	167	2941
54	168	2894
55	169	2849
56	169	2803
57	169	2760
58	170	2717
59	170	2676
60	171	2636
61	171	2597
62	172	2559
63	172	2522
64	172	2488
65	173	2453
66	173	2420
67	174	2387
68	174	2356
69	175	2325
70	175	2295
71	175	2267
72	176	2239
73	193	2419
74	193	2392
75	194	2364
76	194	2336
77	195	2308
78	195	2281
79	196	2255
80	196	2229
81	196	2205
82	197	2181
83	197	2157
84	198	2134
85	198	2111
86	199	2089
87	199	2067
88	199	2045
89	200	2024
90	200	2004
91	201	1985
92	201	1965
93	201	1946
94	202	1928
95	202	1909
96	203	1891
97	203	1874
98	204	1857
99	204	1840
100	204	1823
101	205	1807
102	205	1791
103	206	1775
104	206	1759
105	206	1745
106	207	1730
107	207	1717
108	208	1703
109	208	1689
110	209	1675
111	209	1661
112	209	1648
113	210	1635
114	210	1622
115	211	1609
116	211	1597
117	212	1585
118	212	1574
119	213	1562
120	213	1551
121	213	1539
122	214	1528
123	214	1517
124	215	1507
125	215	1496
126	216	1485
127	216	1475
128	216	1465
129	217	1454
130	217	1444
131	218	1434
132	218	1425
133	219	1415
134	219	1406
135	219	1397
136	220	1388
137	220	1379
138	221	1370
139	221	1361
140	222	1353
141	222	1344
142	223	1336
143	223	1328
144	223	1319
145	224	1311
146	224	1303
147	225	1295
148	225	1287
149	226	1280
150	226	1273
151	226	1266
152	227	1258
153	227	1251
154	228	1245
155	228	1237
156	229	1230
157	229	1223
158	230	1217
159	230	1210
160	231	1204
161	231	1197
162	231	1191
163	232	1183
164	232	1177
165	233	1171
166	233	1164
167	233	1158
168	234	1152
169	234	1146
170	235	1140
171	235	1134
172	236	1128
173	236	1122
174	236	1116
175	237	1111
176	237	1105
177	238	1100
178	238	1094
179	239	1089
180	239	1083
181	239	1078
182	240	1072
183	240	1067
184	241	1062
185	241	1057
186	242	1052
187	242	1047
188	242	1042
189	243	1037
190	243	1032
191	244	1028
192	244	1022
193	244	1017
194	245	1013
195	245	1008
196	246	1003
197	246	999
198	247	994
199	247	990
200	248	985
201	248	981
202	248	976
203	249	972
204	249	967
205	249	963
206	250	959
207	250	954
208	251	950
209	251	946
210	252	942
211	252	938
212	252	934
213	253	930
214	253	926
215	254	922
216	254	918
217	255	914
218	255	911
219	255	907
220	256	904
221	256	900
222	257	896
223	257	893
224	258	889
225	258	886
226	259	882
227	259	879
228	260	875
229	260	872
230	260	868
231	261	865
232	261	861
233	262	858
234	262	855
235	263	852
236	263	848
237	264	845
238	264	842
239	264	838
240	265	835
241	265	832
242	266	828
243	266	825
244	266	822
245	267	819
246	267	816
247	268	813
248	268	810
249	269	807
250	269	804
251	269	800
252	270	797
253	270	794
254	271	792
255	271	789
256	272	787
257	272	784
258	273	781
259	273	778
260	273	775
261	274	773
262	274	770
263	275	767
264	275	765
265	276	762
266	276	759
267	277	756
268	277	754
269	278	752
270	278	749
271	279	747
272	279	744
273	280	741
274	280	739
275	280	736
276	281	734
277	281	731
278	282	729
279	282	726
280	283	724
281	283	721
282	283	719
283	284	716
284	284	714
285	285	711
286	285	709
287	286	707
288	286	704
289	286	702
290	287	700
291	287	697
292	288	695
293	288	693
294	289	691
295	289	689
296	290	687
297	290	684
298	291	682
299	291	680
300	291	677
301	292	675
302	292	673
303	293	671
304	293	669
305	294	666
306	294	664
307	294	662
308	295	660
309	295	658
310	296	656
311	296	653
312	296	651
313	297	649
314	297	647
315	298	645
316	298	643
317	299	641
318	299	639
319	299	637
320	300	635
321	300	633
322	301	631
323	302	630
324	302	628
325	302	626
326	303	624
327	303	622
328	304	620
329	304	618
330	305	616
331	305	615
332	306	613
333	306	611
334	306	609
335	307	607
336	307	605
337	308	603
338	308	601
339	309	599
340	309	598
341	309	596
342	310	594
343	310	592
344	311	591
345	311	589
346	312	587
347	312	585
348	313	584
349	313	582
350	314	580
351	314	579
352	315	577
353	315	576
354	316	574
355	316	573
356	317	571
357	317	570
358	318	568
359	319	567
